Problem,,,Constructive algorithm,,Local search,,GRASP,
Name,n,m,alpha,Semi-greedy-1,Local-1,,GRASP-1,
,,,,,No. of iterations,Best value,No. of iterations,Best value
,,,0.82,1786,,,,
,,,0.82,1815,,,,
,,,0.85,1840,,,,
,,,0.87,1832,,,,
,,,0.89,1778,,,,
,,,0.9,1851,,,,
,,,0.95,1760,,,,
,,,0.96,1889,,,,
,,,0.97,1752,,,,
,,,0.97,1821,,,,
,,,0.97,1830,,,,
,,,0.99,1820,,,,
G10,800,19176,0,1656,135,1751,50,1865
,,,0,1757,,,,
,,,0.01,1661,,,,
,,,0.03,1743,,,,
,,,0.04,1721,,,,
,,,0.09,1726,,,,
,,,0.11,1752,,,,
,,,0.14,1735,,,,
,,,0.16,1707,,,,
,,,0.17,1689,,,,
,,,0.22,1784,,,,
,,,0.25,1763,,,,
,,,0.26,1774,,,,
,,,0.31,1732,,,,
,,,0.34,1756,,,,
,,,0.35,1760,,,,
,,,0.35,1763,,,,
,,,0.35,1781,,,,
,,,0.36,1798,,,,
,,,0.36,1831,,,,
,,,0.39,1728,,,,
,,,0.42,1722,,,,
,,,0.42,1741,,,,
,,,0.42,1772,,,,
,,,0.43,1719,,,,
,,,0.52,1733,,,,
,,,0.53,1680,,,,
,,,0.54,1815,,,,
,,,0.58,1786,,,,
,,,0.61,1717,,,,
,,,0.63,1729,,,,
,,,0.65,1762,,,,
,,,0.68,1721,,,,
,,,0.69,1806,,,,
,,,0.71,1733,,,,
,,,0.72,1797,,,,
,,,0.74,1712,,,,
,,,0.75,1759,,,,
,,,0.77,1804,,,,
,,,0.8,1751,,,,
,,,0.82,1768,,,,
,,,0.84,1756,,,,
,,,0.85,1780,,,,
,,,0.87,1770,,,,
,,,0.89,1691,,,,
,,,0.9,1790,,,,
,,,0.91,1750,,,,
,,,0.92,1865,,,,
,,,0.98,1755,,,,
,,,0.99,1776,,,,
G11,800,1600,0,442,11,464,50,494
,,,0,450,,,,
,,,0.01,456,,,,
,,,0.03,432,,,,
,,,0.04,456,,,,
,,,0.09,428,,,,
,,,0.11,458,,,,
,,,0.14,450,,,,
,,,0.16,444,,,,
,,,0.17,436,,,,
,,,0.22,458,,,,
,,,0.25,454,,,,
,,,0.26,446,,,,
,,,0.31,448,,,,
,,,0.34,448,,,,
,,,0.35,456,,,,
,,,0.35,456,,,,
,,,0.35,472,,,,
,,,0.36,438,,,,
,,,0.36,444,,,,
,,,0.39,428,,,,
,,,0.42,448,,,,
,,,0.42,456,,,,
,,,0.42,458,,,,
,,,0.43,442,,,,
,,,0.52,456,,,,
,,,0.53,472,,,,
,,,0.54,454,,,,
,,,0.58,462,,,,
,,,0.61,494,,,,
,,,0.63,468,,,,
,,,0.65,460,,,,
,,,0.68,476,,,,
,,,0.69,476,,,,
,,,0.71,478,,,,
,,,0.72,492,,,,
,,,0.74,494,,,,
,,,0.75,490,,,,
,,,0.77,490,,,,
,,,0.8,490,,,,
,,,0.82,484,,,,
,,,0.84,488,,,,
,,,0.85,484,,,,
,,,0.87,494,,,,
,,,0.89,484,,,,
,,,0.9,486,,,,
,,,0.91,480,,,,
,,,0.92,484,,,,
,,,0.98,488,,,,
,,,0.99,494,,,,
G12,800,1600,0.02,424,11,453,50,496
,,,0.02,430,,,,
,,,0.05,448,,,,
,,,0.07,418,,,,
,,,0.07,444,,,,
,,,0.12,416,,,,
,,,0.14,420,,,,
,,,0.15,424,,,,
,,,0.18,418,,,,
,,,0.19,428,,,,
,,,0.19,430,,,,
,,,0.2,438,,,,
,,,0.21,420,,,,
,,,0.21,420,,,,
